Time,Live threads
41772.123103,181
41772.123149,181
41772.123196,181
41772.123242,181
41772.123288,180
41772.123334,180
41772.123381,180
41772.123427,180
41772.123473,180
41772.123520,184
41772.123566,184
41772.123612,151
41772.123659,152
41772.123705,152
41772.123751,152
41772.123797,152
41772.123844,151
41772.123890,152
41772.123936,152
41772.123983,152
41772.124029,152
41772.124075,152
41772.124122,154
41772.124168,155
41772.124214,150
41772.124260,150
41772.124307,150
41772.124353,149
41772.124399,149
41772.124446,149
41772.124492,149
41772.124538,149
41772.124584,147
41772.124631,148
41772.124677,148
41772.124724,158
41772.124770,158
41772.124816,157
41772.124862,157
41772.124909,157
41772.124955,161
41772.125002,170
41772.125047,169
41772.125094,168
41772.125140,170
41772.125186,169
41772.125233,168
41772.125279,167
41772.125325,169
41772.125373,174
41772.125418,165
41772.125464,164
41772.125510,163
41772.125557,162
41772.125606,233
41772.125649,234
41772.125696,234
41772.125742,232
41772.125788,231
41772.125834,230
41772.125881,229
41772.125927,228
41772.125973,228
41772.126020,228
41772.126066,226
41772.126112,226
41772.126159,227
41772.126205,227
41772.126251,227
41772.126297,174
41772.126344,174
41772.126390,174
41772.126436,174
41772.126483,175
41772.126529,174
41772.126575,145
41772.126621,145
41772.126668,159
41772.126714,159
41772.126760,159
41772.126807,159
41772.126853,159
41772.126899,159
41772.126946,159
41772.126992,159
41772.127038,159
41772.127084,159
41772.127131,160
41772.127177,160
41772.127224,160
41772.127270,160
41772.127316,160
41772.127362,150
41772.127409,152
41772.127455,153
41772.127501,153
41772.127547,153
41772.127594,153
41772.127640,153
41772.127686,153
41772.127733,153
41772.127779,155
41772.127825,154
41772.127872,154
41772.127918,154
41772.127964,154
41772.128011,154
41772.128057,155
41772.128103,154
41772.128149,153
41772.128196,153
41772.128242,153
41772.128288,153
41772.128334,153
41772.128381,154
41772.128428,175
41772.128473,174
41772.128520,173
41772.128566,172
41772.128612,174
41772.128659,173
41772.128705,172
41772.128751,171
41772.128798,173
41772.128844,174
41772.128890,173
41772.128936,172
41772.128983,171
41772.129029,170
41772.129075,169
41772.129132,326
41772.129168,327
41772.129214,326
41772.129260,325
41772.129307,324
41772.129353,323
41772.129399,323
41772.129446,322
41772.129492,322
41772.129538,322
41772.129585,322
41772.129631,322
41772.129677,322
41772.129724,322
41772.129770,322
41772.129816,161
41772.129862,149
41772.129909,149
41772.129955,149
41772.130001,149
41772.130047,149
41772.130094,149
41772.130140,149
41772.130186,149
41772.130233,148
41772.130279,148
41772.130325,148
41772.130371,148
41772.130418,148
41772.130464,148
41772.130511,148
41772.130558,161
41772.130603,162
41772.130649,162
41772.130696,162
41772.130742,162
41772.130789,164
41772.130835,164
41772.130881,164
41772.130927,164
41772.130974,164
41772.131020,164
41772.131066,164
41772.131112,164
41772.131159,164
41772.131205,164
41772.131251,162
41772.131298,162
41772.131344,165
41772.131390,165
41772.131437,165
41772.131483,163
41772.131529,163
41772.131575,163
41772.131621,162
41772.131668,162
41772.131714,162
41772.131761,162
41772.131807,162
41772.131853,162
41772.131900,166
41772.131946,165
41772.131992,166
41772.132039,164
41772.132085,167
41772.132131,166
41772.132177,165
41772.132224,164
41772.132270,163
41772.132316,165
41772.132362,165
41772.132409,166
41772.132455,165
41772.132501,165
41772.132548,164
41772.132594,163
41772.132649,297
41772.132686,298
41772.132733,297
41772.132779,298
41772.132826,297
41772.132871,296
41772.132918,295
41772.132964,295
41772.133011,295
41772.133057,295
41772.133103,295
41772.133149,295
41772.133196,295
41772.133242,295
41772.133288,295
41772.133334,163
41772.133381,163
41772.133427,163
41772.133474,165
41772.133520,165
41772.133566,155
41772.133612,155
41772.133659,154
41772.133705,154
41772.133751,154
41772.133798,154
41772.133844,154
41772.133890,154
41772.133936,154
41772.133983,154
41772.134030,164
41772.134075,164
41772.134122,164
41772.134168,163
41772.134214,163
41772.134261,163
41772.134307,163
41772.134353,163
41772.134399,163
41772.134446,163
41772.134492,163
41772.134538,163
41772.134585,163
41772.134631,163
41772.134678,163
41772.134724,167
41772.134770,168
41772.134816,168
41772.134862,168
41772.134909,168
41772.134955,168
41772.135001,169
41772.135048,169
41772.135094,169
41772.135140,169
41772.135186,169
41772.135233,171
41772.135279,171
41772.135325,170
41772.135372,174
41772.135418,170
41772.135464,169
41772.135511,168
41772.135557,169
41772.135603,169
41772.135649,168
41772.135696,166
41772.135742,166
41772.135789,170
41772.135834,170
41772.135881,171
41772.135927,170
41772.135973,169
41772.136020,168
41772.136066,168
41772.136112,168
41772.136168,332
41772.136206,335
41772.136251,334
41772.136298,332
41772.136344,331
41772.136390,330
41772.136436,329
41772.136483,328
41772.136529,328
41772.136575,328
41772.136621,328
41772.136668,328
41772.136714,328
41772.136761,328
41772.136807,328
41772.136853,161
41772.136900,159
41772.136946,159
41772.136992,159
41772.137038,159
41772.137085,159
41772.137131,159
41772.137178,159
41772.137224,159
