Time,CPU Usage
41772.114539,7.3
41772.114585,9.1
41772.114631,5.0
41772.114677,5.2
41772.114724,9.6
41772.114770,9.0
41772.114816,8.3
41772.114863,6.3
41772.114909,8.1
41772.114955,7.4
41772.115001,7.4
41772.115048,5.5
41772.115094,20.3
41772.115140,7.8
41772.115187,4.9
41772.115233,5.1
41772.115279,5.1
41772.115326,4.9
41772.115372,5.9
41772.115418,8.5
41772.115465,10.9
41772.115511,6.7
41772.115557,6.1
41772.115603,9.1
41772.115650,5.2
41772.115696,4.6
41772.115742,4.9
41772.115789,7.0
41772.115835,12.2
41772.115881,5.1
41772.115928,5.8
41772.115974,5.6
41772.116020,5.1
41772.116066,4.2
41772.116113,5.2
41772.116159,6.5
41772.116205,12.0
41772.116252,13.0
41772.116298,6.9
41772.116344,4.8
41772.116391,5.0
41772.116437,4.7
41772.116483,4.7
41772.116530,8.1
41772.116576,6.3
41772.116622,6.5
41772.116668,8.9
41772.116715,5.5
41772.116761,4.5
41772.116807,4.4
41772.116854,5.1
41772.116900,13.6
41772.116946,7.9
41772.116992,7.4
41772.117039,6.6
41772.117085,7.3
41772.117131,5.4
41772.117178,4.9
41772.117224,4.9
41772.117270,8.6
41772.117316,5.9
41772.117363,5.6
41772.117409,4.9
41772.117455,7.8
41772.117501,11.7
41772.117548,5.0
41772.117594,6.9
41772.117640,11.6
41772.117687,6.7
41772.117733,4.9
41772.117779,4.2
41772.117826,4.7
41772.117872,7.2
41772.117918,7.1
41772.117965,5.3
41772.118011,10.3
41772.118057,5.4
41772.118103,7.8
41772.118150,5.1
41772.118196,5.2
41772.118242,5.4
41772.118289,11.5
41772.118335,9.2
41772.118381,12.3
41772.118427,5.2
41772.118474,4.5
41772.118520,4.3
41772.118566,4.8
41772.118613,13.1
41772.118659,7.9
41772.118705,7.9
41772.118751,12.8
41772.118798,4.8
41772.118844,5.2
41772.118890,4.9
41772.118937,5.0
41772.118983,6.7
41772.119029,10.3
41772.119076,6.6
41772.119122,12.8
41772.119168,6.2
41772.119214,4.9
41772.119261,4.8
41772.119307,4.9
41772.119353,5.3
41772.119400,5.3
41772.119446,4.9
41772.119492,9.8
41772.119539,8.6
41772.119585,5.8
41772.119631,8.0
41772.119677,6.8
41772.119724,7.1
41772.119770,6.4
41772.119816,5.1
41772.119863,9.4
41772.119909,5.4
41772.119955,9.4
41772.120001,5.0
41772.120048,5.2
41772.120094,5.2
41772.120140,5.7
41772.120187,6.1
41772.120233,11.3
41772.120279,5.0
41772.120326,5.6
41772.120372,10.6
41772.120418,7.8
41772.120464,6.9
41772.120511,5.9
41772.120557,5.4
41772.120603,10.5
41772.120650,5.0
41772.120696,4.4
41772.120742,5.7
41772.120789,9.8
41772.120835,9.2
41772.120881,4.8
41772.120927,5.6
41772.120974,8.3
41772.121020,4.9
41772.121066,7.1
41772.121113,7.1
41772.121159,9.2
41772.121205,7.5
41772.121251,4.8
41772.121298,7.8
41772.121344,7.0
41772.121390,4.5
41772.121437,8.7
41772.121483,7.6
41772.121529,5.6
41772.121576,8.0
41772.121622,7.6
41772.121668,9.0
41772.121714,6.3
41772.121761,6.8
41772.121807,8.2
41772.121853,7.0
41772.121900,7.4
41772.121946,7.9
41772.121992,6.9
41772.122039,11.9
41772.122085,4.8
41772.122131,10.4
41772.122177,8.0
41772.122224,6.0
41772.122270,5.3
41772.122316,4.3
41772.122363,8.6
41772.122409,11.9
41772.122455,9.2
41772.122501,7.3
41772.122548,6.9
41772.122594,5.5
41772.122640,4.7
41772.122687,4.3
41772.122733,4.3
41772.122779,8.7
41772.122826,8.1
41772.122872,7.1
41772.122918,9.4
41772.122964,5.4
41772.123011,5.1
41772.123057,4.6
41772.123103,5.2
41772.123150,11.4
41772.123196,6.2
41772.123242,10.9
41772.123289,6.8
41772.123335,4.9
41772.123381,4.8
41772.123427,5.0
41772.123474,3.7
41772.123520,13.1
41772.123566,5.8
41772.123613,5.9
41772.123659,10.0
41772.123705,5.3
41772.123751,5.4
41772.123798,5.1
41772.123844,7.1
41772.123890,11.4
41772.123937,7.2
41772.123983,5.6
41772.124029,6.1
41772.124076,8.8
41772.124122,8.1
41772.124168,4.5
41772.124214,4.6
41772.124261,9.4
41772.124307,6.2
41772.124353,5.0
41772.124400,4.9
41772.124446,7.6
41772.124492,7.7
41772.124539,6.8
41772.124585,6.8
41772.124631,11.8
41772.124677,5.6
41772.124724,8.9
41772.124770,5.1
41772.124816,4.5
41772.124863,7.4
41772.124909,6.9
41772.124955,5.8
41772.125001,10.5
41772.125048,4.1
41772.125094,4.0
41772.125140,5.2
41772.125187,3.6
41772.125233,3.6
41772.125279,4.1
41772.125326,5.0
41772.125372,14.1
41772.125418,2.8
41772.125464,2.6
41772.125511,2.3
41772.125557,0.9
41772.125603,2.4
41772.125650,6.8
41772.125696,4.6
41772.125742,4.1
41772.125788,8.4
41772.125835,7.3
41772.125881,7.6
41772.125927,6.3
41772.125974,5.2
41772.126020,3.1
41772.126066,4.4
41772.126113,4.8
41772.126160,7.6
41772.126205,5.6
41772.126251,4.4
41772.126298,1.8
41772.126344,1.8
41772.126390,2.1
41772.126437,3.7
41772.126483,4.5
41772.126529,9.9
41772.126576,4.9
41772.126622,6.4
41772.126668,12.3
41772.126714,7.8
41772.126761,4.7
41772.126807,1.9
41772.126853,2.3
41772.126900,7.9
41772.126946,3.2
41772.126992,3.8
41772.127039,3.2
41772.127085,10.1
41772.127131,6.4
41772.127177,4.3
41772.127224,4.9
41772.127270,10.3
41772.127316,6.5
41772.127363,6.2
41772.127409,25.3
41772.127455,26.6
41772.127501,22.5
41772.127548,5.3
41772.127594,4.4
41772.127640,10.6
41772.127687,4.4
41772.127733,5.1
41772.127779,5.8
41772.127826,5.5
41772.127872,4.5
41772.127918,10.1
41772.127964,6.0
41772.128011,11.1
41772.128057,9.7
41772.128103,6.5
41772.128150,5.3
41772.128196,5.7
41772.128242,4.1
41772.128289,5.3
41772.128335,9.8
41772.128381,10.1
41772.128427,5.1
41772.128474,6.1
41772.128520,5.9
41772.128566,4.8
41772.128613,5.3
41772.128659,5.1
41772.128705,8.1
41772.128751,16.9
41772.128798,9.0
41772.128844,6.5
41772.128890,6.5
41772.128937,4.4
41772.128983,4.9
41772.129029,4.9
41772.129076,6.3
41772.129122,11.3
41772.129168,20.8
41772.129214,5.6
41772.129261,6.0
41772.129307,4.8
41772.129353,5.1
41772.129400,6.6
41772.129446,6.3
41772.129492,11.8
41772.129539,10.1
41772.129585,9.8
41772.129631,4.5
41772.129677,5.4
41772.129724,4.4
41772.129770,4.6
41772.129816,5.6
41772.129863,11.6
41772.129909,5.1
41772.129955,7.2
41772.130001,8.0
41772.130048,5.0
41772.130094,6.4
41772.130140,10.3
41772.130187,6.9
41772.130233,11.1
41772.130279,5.6
41772.130326,5.0
41772.130372,6.1
41772.130418,7.5
41772.130464,4.9
41772.130511,5.4
41772.130557,6.0
41772.130603,10.1
41772.130650,5.2
41772.130696,5.2
41772.130742,4.9
41772.130789,13.7
41772.130835,9.4
41772.130881,6.5
41772.130927,7.4
41772.130974,8.1
41772.131020,5.1
41772.131066,4.8
41772.131113,4.4
41772.131159,4.8
41772.131205,8.0
41772.131251,9.0
41772.131298,6.4
41772.131344,11.3
41772.131390,5.4
41772.131437,5.0
41772.131483,6.5
41772.131529,6.6
