Time,Used
41772.085139,723144384
41772.085186,782669504
41772.085232,840409440
41772.085278,985240344
41772.085324,1174388360
41772.085371,1248411152
41772.085417,1312526080
41772.085463,1380791576
41772.085510,1432414824
41772.085556,1499974536
41772.085602,1565702720
41772.085649,1697921920
41772.085695,624688800
41772.085741,743480432
41772.085787,811395912
41772.085834,867343448
41772.085880,918763840
41772.085926,976079128
41772.085973,1033766832
41772.086019,1086823928
41772.086065,1284702224
41772.086111,1472306448
41772.086158,1561159776
41772.086204,1626203608
41772.086250,1694096928
41772.086297,390027224
41772.086343,511028064
41772.086389,629429536
41772.086436,848518368
41772.086482,934555896
41772.086528,1091056360
41772.086574,1146039640
41772.086621,1204940352
41772.086667,1264240928
41772.086713,1317839760
41772.086760,1396565512
41772.086806,1677837400
41772.086852,1744421128
41772.086899,519734680
41772.086945,716831112
41772.086991,1337255720
41772.087037,1454400664
41772.087084,1568612744
41772.087130,1696314096
41772.087176,460787152
41772.087223,522515432
41772.087269,576125280
41772.087315,657200160
41772.087361,803002928
41772.087408,852366656
41772.087454,921996552
41772.087500,1024656088
41772.087547,1196707280
41772.087593,1258889064
41772.087639,1326886040
41772.087686,1389822856
41772.087732,1516604344
41772.087778,1740732608
41772.087824,507199112
41772.087871,585351584
41772.087917,738460136
41772.087963,799460360
41772.088010,854450256
41772.088056,906858760
41772.088102,961994112
41772.088149,1073661240
41772.088195,1246861352
41772.088241,1360594912
41772.088287,1479435504
41772.088334,1565913904
41772.088380,1630827448
41772.088426,1763561488
41772.088473,492413320
41772.088519,605816848
41772.088565,724606952
41772.088611,903440768
41772.088658,1021566240
41772.088704,1070066128
41772.088750,1129080800
41772.088797,1186655864
41772.088843,1267964952
41772.088889,1362286792
41772.088936,1432103976
41772.088982,1604270944
41772.089028,1788945288
41772.089074,478807560
41772.089121,599621720
41772.089167,716551448
41772.089213,837602840
41772.089260,893017672
41772.089306,953495024
41772.089352,1086101616
41772.089399,1231986112
41772.089445,1346888552
41772.089491,1408281304
41772.089537,1476448096
41772.089584,1579907504
41772.089630,1647965240
41772.089676,1703417704
41772.089723,468582400
41772.089769,555787000
41772.089815,737409144
41772.089861,911468648
41772.089908,1025816752
41772.089954,1089017576
41772.090000,1141859088
41772.090047,1199883288
41772.090093,1374769536
41772.090139,1433570008
41772.090186,1485120688
41772.090232,1633539880
41772.090278,1781893368
41772.090324,562476408
41772.090371,620554312
41772.090417,835019080
41772.090463,1316011224
41772.090510,478401904
41772.090556,599709352
41772.090602,714040208
41772.090649,875616744
41772.090695,963225000
41772.090741,1009759496
41772.090787,1081430968
41772.090834,1245179464
41772.090880,1318981440
41772.090926,1382620640
41772.090973,1498298240
41772.091019,1579315088
41772.091065,1705891352
41772.091111,1821050576
41772.091158,505895416
41772.091204,959317680
41772.091250,1073817320
41772.091297,1186760048
41772.091343,1266351424
41772.091389,1320413960
41772.091436,1375606752
41772.091482,1546439576
41772.091528,1619955592
41772.091574,1789208928
41772.091621,488296016
41772.091667,595071424
41772.091713,661308280
41772.091760,714312368
41772.091806,791964040
41772.091852,874860472
41772.091899,1085636128
41772.091945,1331757872
41772.091991,1446329016
41772.092037,1516478240
41772.092084,1576181384
41772.092130,1627793336
41772.092176,1692487960
41772.092223,1754837744
41772.092269,1834834664
41772.092315,722804296
41772.092361,844794120
41772.092408,904210952
41772.092454,959583824
41772.092500,1037156000
41772.092547,1107140080
41772.092593,1231585840
41772.092639,1338566648
41772.092686,1527434648
41772.092732,1655476560
41772.092778,1773473560
41772.092824,494864944
41772.092871,546214824
41772.092917,626519904
41772.092963,681233160
41772.093010,759195992
41772.093056,961555848
41772.093102,1038348632
41772.093149,1117601688
41772.093195,1267120312
41772.093241,1347514504
41772.093287,1472700800
41772.093334,1594284216
41772.093380,1712523032
41772.093426,480862464
41772.093473,538744160
41772.093519,592528272
41772.093565,696450208
41772.093611,837635000
41772.093658,897159848
41772.093704,970733120
41772.093750,1112717096
41772.093797,1260753888
41772.093843,1404228256
41772.093889,1564792856
41772.093936,1636903488
41772.093982,630195920
41772.094028,1194897864
41772.094074,1322507000
41772.094121,1414660168
41772.094167,1554452048
41772.094213,1609138696
41772.094260,1665994448
41772.094306,1732285992
41772.094352,1789765304
41772.094399,502293184
41772.094445,693334176
41772.094491,820157480
41772.094537,925966736
41772.094584,999816656
41772.094630,1060564096
41772.094676,1185755600
41772.094723,1306829224
41772.094769,1427476016
41772.094815,1511906208
41772.094861,1738279312
41772.094908,1827734960
41772.094954,520915368
41772.095000,591057728
41772.095047,654101952
41772.095093,725139536
41772.095139,831619440
41772.095186,898682208
41772.095232,1081582544
41772.095278,1244454056
41772.095324,1321039152
41772.095371,1449763072
41772.095417,1564669000
41772.095463,1688491640
41772.095510,1752873232
41772.095556,1812599080
41772.095602,542095968
41772.095649,645237048
41772.095695,801220648
41772.095741,866868224
41772.095787,940065160
41772.095834,1040118808
41772.095880,1122154232
41772.095926,1180623896
41772.095973,1339543784
41772.096019,1414902384
41772.096065,1565001720
41772.096111,1773167936
41772.096158,537650896
41772.096204,606850968
41772.096250,664490848
41772.096297,720490272
41772.096343,888264880
41772.096389,948708280
41772.096436,1008466392
41772.096482,1110989960
41772.096528,1290761648
41772.096574,1367765304
41772.096621,1423802792
41772.096667,1493973696
41772.096713,1675492744
41772.096760,1803307536
41772.096806,534033280
41772.096852,648989544
41772.096899,762284656
41772.096945,890883248
41772.096991,958040048
41772.097037,1011377160
41772.097084,1177450536
41772.097130,1249553672
41772.097176,1323084288
41772.097223,1428861168
41772.097269,1507713528
41772.097315,1711895160
41772.097361,1841782800
41772.097408,651025856
41772.097454,894254784
41772.097500,1355209336
41772.097547,1712114816
41772.097593,1788095280
41772.097639,1842050720
41772.097686,1899482824
41772.097732,600549192
41772.097778,732352152
41772.097824,910739792
41772.097871,983470800
41772.097917,1074404456
41772.097963,1144703816
41772.098010,1200667288
41772.098056,1274606584
41772.098102,1329629328
41772.098149,1480253944
41772.098195,1791445168
41772.098241,1914853896
41772.098287,608957344
41772.098334,668871856
41772.098380,721176040
41772.098426,774747144
41772.098473,836215008
41772.098519,931746440
41772.098565,1103497712
41772.098611,1300434496
41772.098658,1379905176
41772.098704,1440692376
41772.098750,1510064608
41772.098797,1582089088
41772.098843,1701311368
41772.098889,1856394512
41772.098936,637582984
41772.098982,743758592
